nummer;artiest;titel
526;Wia Buze;Weerom noar Ziel
525;Harry Niehof;Zo laif
524;Elvis Presley;Can't help falling in love
523;Jan Henk de Groot;Sapmeer
522;Racoon;Het is al laat toch
521;Erwin de Vries & Davine;Mooie minsen
520;Kiss;I was made for loving you
519;Leonard Cohen;Suzanne
518;Mooi Wark;Schijt aan regels
517;Fleetwood Mac;Albatross
516;3Js;Wiegelied
515;Art Garfunkel;Bright eyes
514;Drafi Deutscher;Marmor, Stein und Eisen bricht
513;Tiktok Tammo;Geef mie dien blues (live)
512;Frank Boeijen Groep;Kronenburg park
511;Jeroen Russchen;Zunnebril
510;Eagles;The last resort
509;UB40;Kingston town
508;De Troebadoers;In de nacht
507;Lucas & Gea Hulshof;Kristall der Heimat
506;U2;One
505;Acda en de Munnik;Het regent zonnestralen
504;Pussycat;Mississippi
503;Kamahl;The elephant song
502;The Scene;Blauw
501;Bob Marley & The Wailers;No woman no cry
500;Dutch Boys;Boer Harms
499;Status Quo;Rockin' all over the world
498;TikTok Tammo;Lente in Grunnen
497;The Alan Parsons Project;Old and wise
496;Andr‚ van Duin;Als de zon schijnt
495;Ramses Shaffy;Zing vecht huil bid lach werk en bewonder
494;Johnny Cash;Hurt
493;Wia Buze;Kop der veur
492;John Denver;Thank God I'm a country boy
491;Irene Wilkens & Sikkom Kult;Hol die vast
490;Youp van 't Hek;Flappie
489;Adele;Make you feel my love
488;Jan Smit;Als de nacht verdwijnt
487;Marco Borsato;Afscheid nemen bestaat niet
486;Tina Turner & David Bowie;Tonight
485;Europe;The final countdown
484;Wia Buze;Doe bist mien zunneschien
483;John Denver;Annie's song
482;The Cure;A forest
481;Erwin de Vries;Muntendam
480;Vicky Brown & New London Chorale;Stay with me 'till the morning
479;Chris Rea;Driving home for Christmas
478;Kraantje Pappie;Lil Craney
477;Andr‚ Hazes & Paul de Leeuw;Droomland
476;Creedence Clearwater Revival;Down on the corner
475;Henk Wijngaard;Mien Grunninger laand
474;10 CC;Dreadlock holiday
473;Janis Joplin;Me and Bobby McGee
472;The Rolling Stones;You can't always get what you want
471;Frans Bauer;Als sterren aan de hemel staan
470;Cuby & The Blizzards;Somebody will know someday
469;Queen;We will rock you
468;Bl?f;Zo stil
467;Bee Gees;Don't forget to remember
466;Wia Buze;Blief bie mie tot de m”rgen
465;Anouk;Nobody's wife
464;Shocking Blue;Venus
463;Frans Halsema;Voor haar
462;The Cats;Scarlet ribbons
461;U2;Sunday bloody sunday
460;Henk Wijngaard;Ik moet nog wat jaren mee
459;Rod Stewart;Sailing
458;Wat Aans!;Van Noord 1
457;Tina Turner;Private dancer
456;Jan Henk de Groot;Kikker in de kelder
455;TikTok Tammo;Bietn feest
454;Dire Straits;Telegraph Road
453;Josien Bakker;Ritme
452;B‚ Schmaal & Krzysztof Groen;Ik zing
451;Meau;Dat heb jij gedaan
450;Electric Light Orchestra;Mr. Blue Sky
449;Ede Staal;Aans as aans
448;Adele;Hello
447;Erwin de Vries;Prachteg Grunnen
446;Boudewijn de Groot;Land van Maas en Waal
445;Steernvanger;Allain
444;Stef Bos;Is dit nu later
443;Marlene Bakker;Het Hoogelaand
442;U2;With or without you
441;Henk Wijngaard;De stoere jongens uut t Noorden
440;Leonard Cohen;So long Marianne
439;Burdy & Vrienden;Daar zijn we vrienden voor
438;Bl?f;Harder dan ik hebben kan
437;Henk Westbroek;Zelfs je naam is mooi
436;David Bowie;Heroes
435;Voorheen De Bende & Pazzipanten;Traainconducteur
434;Boetenbaintjes;Muziek deur d”rp
433;Meat Loaf;Bat out of hell
432;Normaal;De boer is troef
431;Stad;Knikkers
430;Marianne Rosenberg;Ich bin wie Du
429;B‚ Schmaal & Krzysztof Groen;Kom mor op
428;Elton John;Nikita
427;Wat Aans!;Batterij
426;U2;I still haven't found what I'm looking for
425;Rob de Nijs;Zo zal het zijn
424;Robbie Williams;Angels
423;Henk Wijngaard;Doe bist mien speklap, mien laiverd
422;John Denver;Calypso
421;Dani‰l Lohues;Baat bij muziek
420;Alex Vissering;Het fait
419;ABBA;Mamma mia
418;Hail Gewoon;Vrumde gast
417;Deep Purple;Smoke on the water
416;Dana Winner;Geef de kinderen de wereld
415;Steernvanger;La la laifde
414;Elvis Presley;Love me tender
413;Jaap Reesema;Alles komt goed
412;Hannah Mae;Waterdicht
411;Bee Gees;How deep is your love
410;Bl?f;Aan de kust
409;Jannes;Huilen doe ik wel alleen
408;Davina Michelle;Duurt te lang
407;Evert Baptist;La la la gehaktbal
406;Marlene Bakker & Noordpool Orkest;Wondern van mien stee
405;Eric Clapton;Tears in heaven
404;Harrie Poeste & Trio Put;Ain twai drai (t gait om de neukerai)
403;Anita Meyer;Why tell me why
