positie;artiest;titel;;;;
736;Joe Cocker;Unchain my heart;;;;
735;Robert Long;Kalverliefde;;;;
734;Marlene Bakker;Kloarwakker;;;;
733;Frans Bauer;Als sterren aan de hemel staan;;;;
732;Michael Jackson;Earth song;;;;
731;Janis Joplin;Me and Bobby McGee;;;;
730;Harry Niehof & Los Bomberos;Cuba blues;;;;
729;Guus Meeuwis & Vagant;Het is een nacht... (levensecht);;;;
728;De Bende van Baflo Bill;Koffie in de wind;;;;
727;Fleetwood Mac;Everywhere;;;;
726;De Tuutjefloiters;Veul zegen;;;;
725;Eagles;New kid in town;;;;
724;Benny Neyman;Vrijgezel;;;;
723;Herman van Veen;Suzanne;;;;
722;10 CC;Dreadlock holiday;;;;
721;The Righteous Brothers;Unchained melody;;;;
720;Alex Vissering;Het fait;;;;
719;Juliane Werding;Geh' nicht in die Stadt (heut' Nacht);;;;
718;Rob de Nijs;Zo zal het zijn;;;;
717;Elvis Presley;I just can't help believin';;;;
716;Jannie & Roelof Stalknecht;Laiverd kom weer bie mie;;;;
715;Elton John;Circle of life;;;;
714;Otis Redding;(Sittin' on) The dock of the bay;;;;
713;The Scene;Blauw;;;;
712;Marlene Bakker;Heufd as helm;;;;
711;Burdy;Hey FC Groningen;;;;
710;Band Aid;Do they know it's Christmas?;;;;
709;Suzan & Freek;Weg van jou;;;;
708;Leonard Cohen;Take this waltz;;;;
707;Henk Wijngaard;Ik moet nog wat jaren mee;;;;
706;Adele;Rolling in the deep;;;;
705;Wat Aans!;Woisjawel!;;;;
704;Peter Schaap;Vliegen als een vogel;;;;
703;Pearl Jam;Alive;;;;
702;P Daalemmer & Rooie Rinus;Jochem;;;;
701;Erwin de Vries;Bemui die;;;;
700;Alphaville;Forever young;;;;
699;Frank Sinatra;My way;;;;
698;Wia Buze;Dou mor gewoon;;;;
697;Nena & Kim Wilde;Anyplace, anywhere, anytime;;;;
696;Anton Smit;Tied;;;;
695;The Rolling Stones;Honky tonk women;;;;
694;Danil Lohues;A28;;;;
693;Evert Baptist;Hoor je het ruisen der golven;;;;
692;Bee Gees;Stayin' alive;;;;
691;Abel;Onderweg;;;;
690;B Schmaal;Regenpak;;;;
689;Shocking Blue;Venus;;;;
688;Marillion;Kayleigh;;;;
687;Henk Wijngaard;Ik heb 'n truck als m'n woning;;;;
686;Bee Gees;Massachusetts;;;;
685;Josien Bakker;Veld van korengold;;;;
684;Blondie;Denis;;;;
683;Johan & Henk;Geloof, hoop en liefde;;;;
682;The Cats;Be my day;;;;
681;Jan Henk de Groot;Weltrusten;;;;
680;Freddy Quinn;Junge komm bald wieder;;;;
679;Ike & Tina Turner;River deep mountain high;;;;
678;Lucas & Gea Hulshof;Als ik die wat vroag;;;;
677;Paul Simon;Graceland;;;;
676;Ennio Morricone;Once upon a time in the west;;;;
675;Erwin de Vries;Blief nou;;;;
674;Edith Piaf;Non je ne regrette rien;;;;
673;ABBA;Lay all your love on me;;;;
672;Eddy Koekkoek;Zalstoe altied bie mie blieven;;;;
671;Burdy;Goodbye Eloisa;;;;
670;Bl?f;Zo stil;;;;
669;Bruce Springsteen;Born to run;;;;
668;Adele;Hello;;;;
667;Wia Buze;Woar is de man?;;;;
666;Ren Beverwijk;Loat mor goan;;;;
665;Vayndog;Out of my sails;;;;
664;Simon & Garfunkel;Mrs. Robinson;;;;
663;Ren Becker;Als een komeet;;;;
662;Jan Henk de Groot;Evenwicht;;;;
661;Nick Schilder;Shatterproof;;;;
660;Wia Buze;n Endje fietsen;;;;
659;The Shadows;Apache;;;;
658;Tino Martin & Mart Hoogkamer;Hartslag van de stad;;;;
657;Queen;Killer queen;;;;
656;TikTok Tammo;Lente in Grunnen;;;;
655;The Beatles;Here comes the sun;;;;
654;Burdy;Rosalita, ik ben verliefd;;;;
653;B Schmaal;Loater;;;;
652;Kansas;Dust in the wind;;;;
651;Josh Groban;You raise me up;;;;
650;Johnny Cash;I walk the line;;;;
649;Gert Sennema & Westkantstad;Veur dij;;;;
648;Golden Earring;Back home;;;;
647;Dutch Boys;Boer Harms;;;;
646;De Dijk;Mag het licht uit;;;;
645;David Bowie;Space oddity;;;;
644;Daisz;Wat wil je echt;;;;
643;Bryan Adams;(Everything I do) I do it for you;;;;
642;Boudewijn de Groot;Land van Maas en Waal;;;;
641;Jan Henk de Groot;De drij van Woudbloem;;;;
640;Tina Turner;Private dancer;;;;
639;Andr van Duin;Een echte vriend;;;;
638;Bee Gees;Words;;;;
637;Acda en de Munnik;Niet of nooit geweest;;;;
636;Albert Secuur & Miranda Bolhuis;Boven wotter;;;;
635;Bon Jovi;Livin' on a prayer;;;;
634;P Daalemmer & Rooie Rinus;Worst;;;;
633;Krezip & Danny Vera;Make it a memory;;;;
632;Kensington;Uncharted;;;;
